category,mean_prop
action_words,0.16654007442453583
animals,0.06859522199736037
quantifiers,0.023961139342293665
body_parts,0.04240748401805225
clothing,0.04373100418112199
connecting_words,0.010950785529859215
descriptive_words,0.09005338074754471
locations,0.035842826587883375
food_drink,0.09476516553983319
furniture_rooms,0.04471744791576091
games_routines,0.040009174244508096
helping_verbs,0.020331739607424515
household,0.07508678338370023
outside,0.05038384888539704
people,0.04526868856452583
places,0.03059931723790647
pronouns,0.038129780273414134
question_words,0.012785597342740382
sounds,0.024090426086608097
time_words,0.019975001366186882
toys,0.02760689579387279
vehicles,0.022175751590456177
