item_id,definition,language,form,type,category,lexical_category,lexical_class,uni_lemma,complexity_category,num_item_id
item_46,animal,English (American),WG,word,animals,nouns,nouns,animal,,46
item_47,bear,English (American),WG,word,animals,nouns,nouns,bear,,47
item_48,bee,English (American),WG,word,animals,nouns,nouns,bee,,48
item_49,bird,English (American),WG,word,animals,nouns,nouns,bird,,49
item_50,bug,English (American),WG,word,animals,nouns,nouns,bug,,50
item_51,bunny,English (American),WG,word,animals,nouns,nouns,bunny,,51
item_52,butterfly,English (American),WG,word,animals,nouns,nouns,butterfly,,52
item_53,cat,English (American),WG,word,animals,nouns,nouns,cat,,53
item_54,chicken (animal),English (American),WG,word,animals,nouns,nouns,chicken (animal),,54
item_55,cow,English (American),WG,word,animals,nouns,nouns,cow,,55
item_56,deer,English (American),WG,word,animals,nouns,nouns,deer,,56
item_57,dog,English (American),WG,word,animals,nouns,nouns,dog,,57
item_58,donkey,English (American),WG,word,animals,nouns,nouns,donkey,,58
item_59,duck,English (American),WG,word,animals,nouns,nouns,duck,,59
item_60,elephant,English (American),WG,word,animals,nouns,nouns,elephant,,60
item_61,fish (animal),English (American),WG,word,animals,nouns,nouns,fish (animal),,61
item_62,frog,English (American),WG,word,animals,nouns,nouns,frog,,62
item_63,giraffe,English (American),WG,word,animals,nouns,nouns,giraffe,,63
item_64,goose,English (American),WG,word,animals,nouns,nouns,goose,,64
item_65,horse,English (American),WG,word,animals,nouns,nouns,horse,,65
item_66,kitty,English (American),WG,word,animals,nouns,nouns,kitty,,66
item_67,lamb,English (American),WG,word,animals,nouns,nouns,lamb,,67
item_68,lion,English (American),WG,word,animals,nouns,nouns,lion,,68
item_69,monkey,English (American),WG,word,animals,nouns,nouns,monkey,,69
item_70,mouse,English (American),WG,word,animals,nouns,nouns,mouse,,70
item_71,owl,English (American),WG,word,animals,nouns,nouns,owl,,71
item_72,penguin,English (American),WG,word,animals,nouns,nouns,penguin,,72
item_73,pig,English (American),WG,word,animals,nouns,nouns,pig,,73
item_74,pony,English (American),WG,word,animals,nouns,nouns,pony,,74
item_75,puppy,English (American),WG,word,animals,nouns,nouns,puppy,,75
item_76,sheep,English (American),WG,word,animals,nouns,nouns,sheep,,76
item_77,squirrel,English (American),WG,word,animals,nouns,nouns,squirrel,,77
item_78,teddybear,English (American),WG,word,animals,nouns,nouns,teddybear,,78
item_79,tiger,English (American),WG,word,animals,nouns,nouns,tiger,,79
item_80,turkey,English (American),WG,word,animals,nouns,nouns,turkey,,80
item_81,turtle,English (American),WG,word,animals,nouns,nouns,turtle,,81
item_82,airplane,English (American),WG,word,vehicles,nouns,nouns,airplane,,82
item_83,bicycle,English (American),WG,word,vehicles,nouns,nouns,bicycle,,83
item_84,bus,English (American),WG,word,vehicles,nouns,nouns,bus,,84
item_85,car,English (American),WG,word,vehicles,nouns,nouns,car,,85
item_86,firetruck,English (American),WG,word,vehicles,nouns,nouns,firetruck,,86
item_87,motorcycle,English (American),WG,word,vehicles,nouns,nouns,motorcycle,,87
item_88,stroller,English (American),WG,word,vehicles,nouns,nouns,stroller,,88
item_89,train,English (American),WG,word,vehicles,nouns,nouns,train,,89
item_90,truck,English (American),WG,word,vehicles,nouns,nouns,truck,,90
item_91,ball,English (American),WG,word,toys,nouns,nouns,ball,,91
item_92,balloon,English (American),WG,word,toys,nouns,nouns,balloon,,92
item_93,block,English (American),WG,word,toys,nouns,nouns,block,,93
item_94,book,English (American),WG,word,toys,nouns,nouns,book,,94
item_95,bubbles,English (American),WG,word,toys,nouns,nouns,bubbles,,95
item_96,doll,English (American),WG,word,toys,nouns,nouns,doll,,96
item_97,pen,English (American),WG,word,toys,nouns,nouns,pen,,97
item_98,toy (object),English (American),WG,word,toys,nouns,nouns,toy (object),,98
item_192,blanket,English (American),WG,word,household,nouns,nouns,blanket,,192
item_193,bottle,English (American),WG,word,household,nouns,nouns,bottle,,193
item_194,bowl,English (American),WG,word,household,nouns,nouns,bowl,,194
item_195,box,English (American),WG,word,household,nouns,nouns,box,,195
item_196,broom,English (American),WG,word,household,nouns,nouns,broom,,196
item_197,brush,English (American),WG,word,household,nouns,nouns,brush (object),,197
item_198,clock,English (American),WG,word,household,nouns,nouns,clock,,198
item_199,comb,English (American),WG,word,household,nouns,nouns,comb (object),,199
item_200,cup,English (American),WG,word,household,nouns,nouns,cup,,200
item_201,dish,English (American),WG,word,household,nouns,nouns,dish,,201
item_202,fork,English (American),WG,word,household,nouns,nouns,fork,,202
item_203,glass,English (American),WG,word,household,nouns,nouns,glass,,203
item_204,glasses,English (American),WG,word,household,nouns,nouns,glasses,,204
item_205,hammer,English (American),WG,word,household,nouns,nouns,hammer,,205
item_206,keys,English (American),WG,word,household,nouns,nouns,keys,,206
item_207,lamp,English (American),WG,word,household,nouns,nouns,lamp,,207
item_208,light,English (American),WG,word,household,nouns,nouns,light (object),,208
item_209,medicine,English (American),WG,word,household,nouns,nouns,medicine,,209
item_210,money,English (American),WG,word,household,nouns,nouns,money,,210
item_211,paper,English (American),WG,word,household,nouns,nouns,paper,,211
item_212,penny,English (American),WG,word,household,nouns,nouns,penny,,212
item_213,picture,English (American),WG,word,household,nouns,nouns,picture,,213
item_214,pillow,English (American),WG,word,household,nouns,nouns,pillow,,214
item_215,plant,English (American),WG,word,household,nouns,nouns,plant,,215
item_216,plate,English (American),WG,word,household,nouns,nouns,plate,,216
item_217,purse,English (American),WG,word,household,nouns,nouns,purse,,217
item_218,radio,English (American),WG,word,household,nouns,nouns,radio,,218
item_219,scissors,English (American),WG,word,household,nouns,nouns,scissors,,219
item_220,soap,English (American),WG,word,household,nouns,nouns,soap,,220
item_221,spoon,English (American),WG,word,household,nouns,nouns,spoon,,221
item_222,telephone,English (American),WG,word,household,nouns,nouns,telephone,,222
item_223,toothbrush,English (American),WG,word,household,nouns,nouns,toothbrush,,223
item_224,towel,English (American),WG,word,household,nouns,nouns,towel,,224
item_225,trash,English (American),WG,word,household,nouns,nouns,trash,,225
item_226,vacuum,English (American),WG,word,household,nouns,nouns,vacuum,,226
item_227,watch (object),English (American),WG,word,household,nouns,nouns,watch (object),,227
item_228,backyard,English (American),WG,word,outside,nouns,nouns,yard,,228
item_229,beach,English (American),WG,word,outside,nouns,nouns,beach,,229
item_230,church*,English (American),WG,word,outside,nouns,nouns,church,,230
item_231,flower,English (American),WG,word,outside,nouns,nouns,flower,,231
item_232,garden,English (American),WG,word,outside,nouns,nouns,garden,,232
item_233,home,English (American),WG,word,outside,nouns,nouns,home,,233
item_234,house,English (American),WG,word,outside,nouns,nouns,house,,234
item_235,moon,English (American),WG,word,outside,nouns,nouns,moon,,235
item_236,outside,English (American),WG,word,outside,nouns,nouns,outside,,236
item_237,park,English (American),WG,word,outside,nouns,nouns,park,,237
item_238,party,English (American),WG,word,outside,nouns,nouns,party,,238
item_239,pool,English (American),WG,word,outside,nouns,nouns,pool,,239
item_240,rain,English (American),WG,word,outside,nouns,nouns,rain,,240
item_241,rock,English (American),WG,word,outside,nouns,nouns,rock (object),,241
item_242,school,English (American),WG,word,outside,nouns,nouns,school,,242
item_243,shovel,English (American),WG,word,outside,nouns,nouns,shovel,,243
item_244,sky,English (American),WG,word,outside,nouns,nouns,sky,,244
item_245,slide (object),English (American),WG,word,outside,nouns,nouns,slide (object),,245
item_246,snow,English (American),WG,word,outside,nouns,nouns,snow,,246
item_247,star,English (American),WG,word,outside,nouns,nouns,star,,247
item_248,store,English (American),WG,word,outside,nouns,nouns,store,,248
item_249,sun,English (American),WG,word,outside,nouns,nouns,sun,,249
item_250,swing (object),English (American),WG,word,outside,nouns,nouns,swing (object),,250
item_251,tree,English (American),WG,word,outside,nouns,nouns,tree,,251
item_252,water (not beverage),English (American),WG,word,outside,nouns,nouns,water (not beverage),,252
item_253,work (place),English (American),WG,word,outside,nouns,nouns,work (place),,253
item_254,zoo,English (American),WG,word,outside,nouns,nouns,zoo,,254
